City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
148,saint anthony,40,CL,1602036725,86,-41.87,-73.82,45,5.82
149,talnakh,5,MX,1602036603,70,22.89,-109.91,86,9.17
150,castro,75,CA,1602036729,75,65.28,-126.83,39.2,9.17
151,arman,40,BR,1602036731,74,2.82,-60.67,82.4,3.36
152,sur,87,RU,1602036733,85,68.05,39.51,43,13.18
153,mecca,1,NC,1602036736,82,-22.67,167.48,70.83,16.53
154,vila do maio,68,PT,1602036738,76,39.05,-27.98,69.08,13.49
155,mataura,8,RU,1602036740,86,69.7,170.31,31.8,4.74
156,georgetown,0,IR,1602036742,42,27.67,54.14,66.2,4.7
157,devonport,10,MG,1602036744,82,-25.17,45.05,63.7,11.95
158,ancud,20,GH,1602036748,88,5.79,0.9,78.8,9.17
159,cabo san lucas,100,RU,1602036750,91,63.05,179.32,42.49,42.84
160,norman wells,0,RU,1602036752,88,69.38,178.42,26.4,5.68
161,boa vista,0,CN,1602036755,35,38.72,112.76,58.33,2.28
162,ostrovnoy,0,MX,1602036757,71,20.18,-97.58,68.61,3.67
163,vao,100,RU,1602036759,83,54.91,64.43,39.97,14.63
164,lagoa,53,UA,1602036761,68,44.82,33.6,64.81,4.74
165,pevek,0,AU,1602036763,58,-25.24,130.99,57.2,8.05
166,gerash,1,US,1602036731,47,32.45,-99.73,78.8,6.93
167,beloha,61,IT,1602036587,82,40.83,14.25,61,1.12
168,grand centre,92,RU,1602036769,73,63.28,118.33,38.55,4.63
169,anloga,40,TH,1602036772,100,6.83,100,82.4,2.24
170,beringovskiy,94,ID,1602036774,59,-5.12,120.25,86.49,6.91
171,leningradskiy,86,RU,1602036776,85,54.34,101.5,31.93,3.58
172,yuanping,100,RU,1602036778,72,52.27,79.17,38.77,13.33
173,coxquihui,66,ID,1602036782,58,-7.94,110.25,80.01,11.77
174,kurtamysh,0,CL,1602036784,93,-33.04,-71.63,50,3.36
175,uhlove,75,CA,1602036747,92,55.74,-97.86,30.2,3.87
176,yulara,0,RU,1602036788,82,68.75,161.3,33.8,4.63
177,abilene,100,CA,1602036791,93,54.77,-101.86,42.91,2.98
178,naples,60,UA,1602036793,88,48.92,24.65,52.88,2.53
179,nyurba,90,RU,1602036795,86,64.38,-173.3,39.2,17.9
180,satun,84,RU,1602036799,53,51.71,143.23,48.04,12.01
181,sinjai,100,CA,1602036803,85,66.15,-65.71,29.53,16.87
182,kuytun,100,ID,1602036524,71,5.56,95.32,82.99,12.3
183,klyuchi,75,IS,1602036808,100,63.84,-22.43,39.2,5.82
184,belushya guba,0,NC,1602036810,65,-20.57,164.28,75.38,15.17
185,srandakan,58,AR,1602036624,49,-40.81,-63,55.99,5.01
186,valparaiso,0,MN,1602036814,47,45.76,106.27,46.45,1.59
187,thompson,98,IN,1602036816,84,18.93,84.6,81.75,3.33
188,cherskiy,40,IN,1602036818,94,19.8,85.85,80.6,3.36
189,flin flon,0,RU,1602036822,60,47.15,134.34,51.1,8.19
190,zahvizdya,100,NZ,1602036544,84,-45.87,170.5,46,1.99
191,provideniya,28,AR,1602036827,58,-31.41,-64.18,64,6.93
192,attawapiskat,21,RU,1602036829,80,62.53,155.8,31.26,7.52
193,katangli,100,PH,1602036833,86,5.4,125.46,79.12,10.07
194,lolua,0,CL,1602036837,80,-37.62,-73.65,46.24,10.87
195,pangnirtung,75,PH,1602036839,94,14.31,121.11,82,2.24
196,banda aceh,1,KZ,1602036841,81,47.47,84.87,33.82,8.5
197,grindavik,100,IE,1602036844,91,54.63,-8.45,46.99,1.99
198,koumac,5,MX,1602036846,62,25.92,-109.18,87.8,16.11
199,viedma,64,RU,1602036850,75,50.68,156.12,49.51,24.74
200,mandalgovi,100,IT,1602036852,68,41.21,9.41,68,13.87
201,sompeta,40,MU,1602036854,94,-20.41,57.7,68,3.36
202,puri,0,CD,1602036857,59,-10.88,26.6,64.24,2.98
203,utiroa,0,NZ,1602036859,32,-43.53,172.63,66.2,8.05
204,lermontovka,20,CN,1602036861,93,30.99,103.94,66,2.95
205,dunedin,0,CV,1602036863,73,14.9,-24.5,78.6,4.32
206,cordoba,100,CA,1602036855,88,51.23,-58.65,51.26,21.09
207,omsukchan,8,UY,1602036867,92,-34.48,-54.33,46.02,1.83
208,samusu,0,SA,1602036694,25,24.69,46.72,77,5.82
209,sarangani,96,AU,1602036874,41,-25.3,152.85,80.01,17.22
210,shibarghan,58,NO,1602036826,83,70.37,31.11,45,14.74
211,lebu,49,RU,1602036878,86,64.57,143.2,30.97,8.01
212,santa rosa,99,MX,1602036880,84,17.96,-102.2,79.56,5.53
213,zaysan,75,RU,1602036882,81,68.61,31.8,44.6,8.95
214,killybegs,20,CA,1602036741,81,54.32,-130.32,51.8,4.7
215,ahome,0,AU,1602036886,21,-20.74,116.85,75.27,19.26
216,mullaitivu,7,TR,1602036888,39,41.25,31.83,67.14,4.9
217,severo-kurilsk,55,GL,1602036893,83,72.79,-56.15,19.81,6.49
218,la maddalena,100,RU,1602036895,83,65.58,-171,35.74,17.05
219,mahebourg,90,FR,1602036897,87,47.88,-3.92,55.4,8.05
220,kambove,72,US,1602036899,65,26.38,-98.82,80.01,1.01
221,christchurch,0,RU,1602036901,86,66.77,123.37,33.94,11.52
222,tianpeng,14,PT,1602036903,92,40.16,-8.33,59,1.01
223,sao filipe,90,CA,1602036906,70,62.46,-114.35,42.8,6.93
224,saint-augustin,64,SB,1602036908,69,-8.14,159.59,84.6,4.21
225,rocha,0,PE,1602036910,74,-5.56,-80.82,66.2,14.34
226,burica,0,IR,1602036912,51,35.24,60.62,48.34,9.69
227,riyadh,1,PT,1602036915,93,38.8,-9.45,63,16.26
228,hervey bay,50,TL,1602036917,65,-8.93,125.41,75.45,3.06
229,vardo,75,PT,1602036919,77,37.73,-25.67,68,4.7
230,ust-nera,75,JP,1602036902,68,35.18,132.5,66.2,4.7
231,lazaro cardenas,99,LR,1602036923,86,5.88,-10.05,76.69,1.39
232,verkhnetulomskiy,0,AU,1602036925,29,-20.1,146.27,83.5,12.55
233,prince rupert,0,ET,1602036927,81,11.26,37.49,53.76,3.44
234,karratha,100,BR,1602036929,80,-1.2,-46.02,77.79,7.38
235,zonguldak,97,LY,1602036932,75,31.76,13.99,70.75,17.69
236,dalneye konstantinovo,0,RU,1602036934,82,43.46,39.92,59,8.95
237,upernavik,100,RO,1602036936,82,44.18,28.65,64.4,8.05
238,lavrentiya,40,MU,1602036938,94,-20.34,57.76,72,3.36
239,concarneau,0,RU,1602036942,92,69.35,88.2,24.8,17.9
240,rio grande city,85,UA,1602036947,97,49.27,25.13,59,1.01
241,zhigansk,52,NO,1602036949,81,70.86,29.09,43.34,11.39
242,lata,1,NP,1602036951,68,28.71,80.6,76.28,1.39
243,yellowknife,100,GA,1602036953,85,-2.65,10,76.75,7.9
244,buala,90,CA,1602036832,87,50.2,-66.38,48.2,4.7
245,sechura,93,GL,1602036957,57,69.22,-51.1,23,13.87
246,torbat-e jam,75,US,1602036960,81,58.3,-134.42,51.01,6.93
247,colares,20,US,1602036962,81,55.34,-131.65,51.8,5.82
248,airai,75,IN,1602036964,94,16.73,82.22,78.8,3.36
249,ponta delgada,16,PL,1602036966,93,50.26,22.42,53.01,1.12
250,oda,100,ID,1602036968,63,3.82,117.25,88.66,1.45
251,buchanan,100,RU,1602036970,99,61.94,76.66,30.83,9.8
252,charters towers,75,TW,1602036972,57,22.76,121.14,80.6,8.05
253,adet,100,NZ,1602036975,83,-46.28,169.85,45,11.01
254,carutapera,20,MY,1602036977,78,4.41,114.01,82.4,3.36
255,bani walid,0,GL,1602036979,45,60.92,-46.05,24.8,14.99
256,orel-izumrud,7,BR,1602036981,94,-6.98,-34.83,75.2,4.7
257,constanta,99,RU,1602036983,92,46.49,135.88,40.1,4.23
258,bambous virieux,20,US,1602036985,69,21.44,-157.84,87.8,9.17
259,dzhusaly,53,RU,1602036987,70,63.45,120.32,39.36,3.42
260,norilsk,91,CN,1602036990,38,38.5,102.17,56.77,2.86
261,toliary,75,JP,1602036992,74,24.34,124.16,78.8,14.99
262,pidhaytsi,52,NZ,1602036994,67,-35.17,173.17,63.28,8.66
263,berlevag,95,TM,1602036996,27,39.24,55.52,57.29,15.79
264,dhangadhi,0,NA,1602036998,40,-18.06,13.84,54.25,1.61
265,gamba,0,CN,1602037000,59,36.62,101.77,47.39,3.04
266,sept-iles,0,NE,1602037002,11,18.74,7.39,92.39,7.72
267,ilulissat,75,CA,1602037004,100,49.75,-77.63,41,3.36
268,juneau,20,IT,1602037007,100,46.46,10.35,53.01,5.82
269,ketchikan,100,GW,1602037009,75,11.28,-15.83,81.52,4.81
270,yanam,0,TC,1602037011,75,21.46,-71.14,82.42,20.13
271,lezajsk,75,PT,1602037013,83,32.67,-17.1,71.6,11.41
272,sembakung,90,BR,1602037015,37,-6.03,-44.25,82.62,0.81
273,novoagansk,100,GB,1602037019,87,60.4,-1.35,51.8,6.93
274,taitung,22,EC,1602037021,91,-0.74,-90.35,66.99,3
275,kaitangata,90,FI,1602037023,93,62.89,27.68,53.6,6.93
276,miri,0,RU,1602037026,59,45.28,38.84,57,1.99
277,narsaq,0,IR,1602037028,83,27.15,57.08,80.6,2.24
278,cabedelo,75,US,1602037030,81,64.86,-147.8,42.8,3.36
279,vostok,0,MX,1602037032,62,17.43,-99.15,65.7,3.18
280,ahuimanu,100,RU,1602037034,82,67.8,130.41,30.78,7.27
281,verkhnevilyuysk,20,FI,1602037036,93,63.84,23.13,53.6,9.17
282,jinchang,56,LY,1602037038,73,31.76,25.09,72.43,2.19
283,ishigaki,100,RU,1602037043,87,63.01,112.47,38.79,10.25
284,ahipara,90,AU,1602037045,93,-37.83,140.77,53.6,10.29
285,gazanjyk,90,RU,1602037047,92,66,111.5,26.6,4.47
286,opuwo,96,VU,1602037049,79,-13.88,167.55,80.4,12.93
287,xining,40,PT,1602037051,83,33.08,-16.33,71.6,12.75
288,arlit,100,SS,1602037053,85,4.41,32.57,70.99,1.86
289,matagami,23,RU,1602037055,93,61.92,63.02,30.13,6.31
290,oga,73,FR,1602037057,76,49.58,0.33,57.2,21.92
291,bubaque,20,MY,1602037060,70,5.95,116.66,84.2,2.24
292,cockburn town,88,BD,1602037062,81,22.34,90.74,83.98,8.61
293,ponta do sol,90,CA,1602037064,87,50.03,-66.87,48.2,10.4
294,colinas,83,CN,1602037066,70,29.96,122.3,68.72,17.05
295,bolungarvik,40,AU,1602037068,67,-33.87,121.9,57.2,20.8
296,brae,100,ID,1602037070,80,-2.97,119.9,73.6,1.57
297,puerto ayora,90,US,1602036931,93,64.84,-147.72,42.8,3.36
298,kuopio,100,UY,1602037074,86,-31.73,-55.98,55.53,4.65
299,novovelichkovskaya,68,AR,1602037076,38,-27.8,-64.26,65.39,8.7
300,minab,13,TR,1602037079,61,38.69,35.55,46.4,2.24
301,college,40,BR,1602037083,94,-6.09,-35.21,73.4,3.36
302,juxtlahuaca,98,ID,1602037085,80,4.14,96.13,77.45,5.01
303,batagay-alyta,38,NA,1602037087,87,-22.96,14.51,55.99,8.05
304,kokkola,53,AU,1602036814,50,-31.43,152.92,80.01,3
305,bardiyah,72,CA,1602036916,56,43.75,-81.72,64,1.01
306,taburi,0,ID,1602037093,49,-9.66,120.26,85.21,7.61
307,chernyshevskiy,100,IR,1602037098,89,36.65,53.3,59.23,6.29
308,mount gambier,90,RU,1602037100,93,64.75,177.48,39,35.79
309,aykhal,89,RU,1602037102,96,71.69,128.87,26.02,28.01
310,sola,90,CA,1602037104,93,68.22,-135.01,32,6.93
311,camacha,64,MN,1602037106,63,47.91,106.88,32,3.38
312,torit,0,NA,1602037108,63,-24.13,19.12,55.04,6.8
313,agirish,56,NO,1602037110,85,71.04,27.85,42.46,13.44
314,havre,0,CL,1602037113,58,-33.73,-70.75,57.2,4.7
315,ranau,42,NZ,1602037115,58,-45.42,167.72,51.85,4.43
316,lalmohan,100,BJ,1602037014,88,6.5,2.6,77.45,6.89
317,port-cartier,0,GL,1602037119,85,65.42,-52.9,25.48,8.1
318,shenjiamen,75,NU,1602037121,74,-19.06,-169.92,80.6,12.75
319,esperance,1,SO,1602037123,86,9.49,50.81,76.37,12.12
320,rantepao,14,BS,1602037110,79,25.72,-79.3,84.34,22.28
321,fairbanks,96,LR,1602037125,87,4.38,-7.72,77.13,9.89
322,tacuarembo,15,NE,1602037130,62,13.05,3.19,81.97,13.04
323,santiago del estero,79,MX,1602037132,52,27.98,-114.06,79.41,13.69
324,talas,75,US,1602037134,77,37.61,-122.49,64,17.22
325,nizhneyansk,13,BT,1602037138,63,26.85,89.39,79.27,1.1
326,nisia floresta,0,PF,1602037142,76,-16.7,-151.02,78.89,16.22
327,meulaboh,92,EC,1602037145,74,-2.47,-78.17,69.03,3.04
328,walvis bay,0,MX,1602037147,91,16.47,-98.42,75.63,1.72
329,port macquarie,100,IN,1602037149,94,27.02,95.57,70.52,0.43
330,goderich,100,AU,1602037151,84,-34.58,150.86,66.99,0.69
331,waingapu,88,CN,1602037153,30,35.41,116.58,65.88,5.39
332,balimo,100,TR,1602037155,41,39.34,29.26,64.35,1.61
333,neka,98,ES,1602037157,96,42.78,-9.06,63,3.47
334,anadyr,100,NO,1602037160,100,62.58,6.13,51.01,4.7
335,tiksi,75,UY,1602037162,100,-34.67,-54.92,50,4.7
336,aklavik,0,SA,1602037166,19,18.39,42.45,62.6,6.22
337,ulaanbaatar,32,BR,1602037168,25,-14.41,-56.45,86.5,4.81
338,aranos,66,NZ,1602037170,76,-41.41,175.52,59,9.17
339,mehamn,75,PT,1602037172,82,37.8,-25.58,68,5.82
340,buin,100,CN,1602037174,88,25.7,100.18,62.2,1.97
341,te anau,75,CA,1602037179,76,47.38,-61.86,57.2,18.34
342,porto novo,83,RU,1602037181,97,71.97,102.5,13.39,7.7
